TIME,G2R_RED,G3R_RED,G4R_RED,G5R_RED,G2L_RED,G3L_RED,G4L_RED,G5L_RED,G2R_GREEN,G3R_GREEN,G4R_GREEN,G5R_GREEN,G2L_GREEN,G3L_GREEN,G4L_GREEN,G5L_GREEN,V_LAT,V_FWD,V_ANG,HEADING,AIR,W_AIR,ODOR_BINARY,ODOR_PID
5.5,1566.3976,1521.2202,1151.3777,888.2609,1137.5846,1702.2651,1682.1636,1025.798,3308.1921,3033.1409,2961.9053,1617.974,1807.1821,2768.4417,3131.0593,1330.0463,-0.0024451041138969115,-0.0006562372827023166,-0.0001951736704740567,-58.13678404766344,-57.596710993846884,0.09003622494908817,0.0,
5.6000000000000005,1532.5231,1548.8684,1120.3278,890.2998,1134.991,1701.9824,1655.156,997.3818,3303.0894,3034.6514,2952.405,1609.0875,1847.0116,2694.7629,3239.1135,1365.6031,0.0005480150110378834,8.848298532155836e-05,-6.804212899264499e-05,-57.989732320365164,-57.521431355376436,0.27010867484740664,0.0,
5.7,1531.7748318136769,1533.4767726461844,1131.3135163528245,891.1810122893954,1139.0001347869177,1709.6900989098117,1658.3456555004955,1023.3900495540139,3331.7200233894946,2930.6693026759167,2973.799021010902,1615.772818136769,1832.4055012884044,2653.520188999009,3295.3544722497522,1329.450829236868,-0.0009062022954616998,-0.0002852972754077,-0.00037219316751513603,-58.10231759407698,-57.5426892588774,-0.5402173496947422,0.0,
5.800000000000001,1531.031,1518.1764,1142.2341,892.057,1142.9855,1717.3521,1661.5164,1049.2441,3360.1809,2827.3037,2995.0662,1622.4185,1817.886,2612.522,3351.262,1293.5129,0.00120869639467785,0.00020740082104018522,0.0005694824139283061,-57.85681750593213,-57.629474825315384,0.016253292555745688,0.0,
5.9,1553.2614,1555.2751,1167.0087,898.1619999999999,1150.4197,1709.1967,1648.0479,1083.8948,3232.8596,2831.0085,2981.5107,1510.9153,1777.5212,2662.2827,3299.6396,1284.1089,-0.00022587253786175826,2.4988654617711693e-05,2.2005781830014936e-06,-58.00109017588193,-57.53943860036625,0.16381915734250244,0.0,
6.0,1565.3849,1507.8506,1124.3068,883.7465,1144.8925,1756.1646,1667.5669,1011.2087,3342.1799,2848.1157,2836.3621,1569.4641,1823.7419,2588.8542,3174.3494,1325.9694,-0.0005879179774365634,0.0003256766942593183,-0.00040264668091298067,-58.128483778049485,-57.596710993846884,-0.18007244989831844,0.0,
6.1000000000000005,1560.5958,1476.3418,1151.7646,890.6866,1131.3939,1719.4351,1674.0707,1048.1287,3589.2424,2708.2354,2775.9797,1569.3914,1970.3823,2611.2527,3309.2798,1300.484,-0.00248880910458205,0.00023332811091278166,-0.001393271297916817,-57.29227833081043,-57.57545309034592,0.2863619674031523,0.0,
6.2,1606.274,1508.0726,1129.3922,871.061,1160.2697,1727.5748,1662.0288,1048.5514,3535.6694,2615.9822,2674.5095,1550.4574,1905.8182,2487.0554,3139.1299,1326.7059,0.00512772736893986,-0.0008138434150040698,0.0027819985650861657,-57.88916275710342,-57.53943860036625,-1.0070025574829335,0.0,
6.300000000000001,1562.4484,1530.1527,1121.1656,894.336,1148.4102,1714.744,1622.5082,1025.3307,3439.9172,2651.5857,2736.6653,1568.8092,1895.4127,2539.9575,3092.0522,1369.7853,-0.004503481049280316,0.0002662687168939833,-0.0032046354740198984,-57.87958117345386,-57.776853601842504,-0.5560613866825288,0.0,
6.4,1561.4519,1469.8464,1148.2312,885.502,1172.6172,1698.4389999999999,1624.8027,1058.0806,3322.2649,2638.3315,2684.3313,1531.1423,1798.4998,2403.3691,2970.2234,1386.9688,0.004708194526979803,-0.00032621100614727336,0.0035078649070527795,-58.417596693269786,-57.65065087770276,-2.503591704397232,0.0,
6.5,1527.6365,1537.2076,1140.7478,943.7583,1180.4274,1688.3384,1666.9712,1031.0037,3316.7708,2606.1038,2785.4829,1606.8052,1822.2439,2446.6401,2951.8076,1342.4811,0.00014934361318196418,-6.389022324863784e-05,0.00018533462977232164,-58.503561666368824,-58.27757194272195,-3.1346053250959445,0.0,
6.6000000000000005,1527.6095,1484.4895,1143.656,909.4602,1150.1847,1735.5219,1656.6777,1045.3307,3307.9539,2625.2397,2774.0105,1502.2592,1774.3446,2341.5864,2903.4414,1388.7889,0.00015561461118875,-0.00018498473992180516,-6.777629015596299e-05,-58.510710017689405,-58.27757194272195,-0.015844036987715512,0.0,
6.7,1562.64,1464.3907,1148.7181,877.4749,1166.8225,1712.9869,1659.0620000000001,1041.4937,3271.1042,2593.4102,2789.1545,1499.6589,1808.2820000000002,2362.301,2954.355,1376.2411,-8.263865421458802e-06,1.4037230123614601e-05,-5.087456093736198e-06,-58.51424634051175,-58.28074075011949,0.0,0.0,
6.800000000000001,1538.8398,1494.2279,1128.7141,902.4133,1169.0514,1736.4827,1679.5452,1020.3542,3146.5129,2613.5181,2770.2742,1519.9785,1730.075,2327.0522,2998.6409,1409.2965,0.00030496204025104337,0.000134677348017575,-8.367923716106166e-05,-58.46343108392239,-58.27757194272195,0.825877736124169,0.0,
6.9,1499.2618,1520.8363,1163.9907,879.201,1151.6713,1711.8113,1634.5516,1023.7372,3128.759,2650.1047,2843.4753,1516.1970000000001,1720.9211,2269.4585,3066.6897,1411.5195,-0.0020052150229903664,0.0004179007181302234,-0.000860361261850655,-58.178962566995864,-58.11556520289466,3.6744134192227436,0.0,
7.0,1503.3594,1505.0759,1118.6566,892.6533,1129.1659,1694.2932,1645.7245,1032.8496,3161.9099,2640.6785,2828.7288,1516.3783,1710.8838,2439.7251,3229.1968,1390.7487,-0.0010828022313887616,-0.00029486393451038165,-0.00025054417693453566,-58.14127134001686,-57.5426892588774,2.4304518878963655,0.0,
7.1000000000000005,1542.1536,1497.3047,1138.8263,890.6635,1145.6764,1690.0386,1634.7744,1024.7281,3135.3320000000003,2660.1096,2775.6658,1499.463,1761.1925,2386.7668,3213.2532,1375.4907,-0.0001581377181042831,0.0002637421348520034,-7.078480752572332e-05,-58.081428232189296,-57.629474825315384,0.016253292555745688,0.0,
7.2,1542.7386,1550.9232,1136.8629,853.5827,1125.2065,1700.546,1627.3772,1086.1083,3199.6702,2759.2769,2799.7537,1468.358,1746.1115,2404.3521,3207.6528,1359.395,0.0008826348906654796,-0.0012019493960435542,0.00011989078144746222,-57.860587249036385,-57.53943860036625,0.07378293239341353,0.0,
7.300000000000001,1580.2649,1538.2329,1131.6008,866.7318,1169.213,1697.424,1643.1691,1023.3909,3190.8113,2737.384,2703.6838,1466.9858,1772.2906,2529.1516,3422.3484,1369.9579,0.0015846524077995168,6.607000349550183e-05,0.0003686441989704914,-57.75815148489252,-57.6147182388367,-0.09003622494915922,0.0,
7.4,1535.729,1449.3528,1119.0726,875.7098,1143.8259,1635.6696,1673.9918,1050.0463,3202.6091,2681.6785,2745.2278,1392.6149,1758.5513,2520.0881,3316.3586,1360.2164,-0.0036892989239485433,0.0006852174287387266,-0.0017874870898242077,-57.62748576650097,-57.557445845356085,0.37639819235224214,0.0,
7.5,1566.2426,1483.7738,1139.0267,861.9769,1174.4209,1708.3893,1679.9169,1022.2056,3296.3264,2767.6304,2698.2598,1424.0656,1792.7583,2616.6211,3223.0945,1336.5142,0.0011442077752124985,6.951905540914943e-05,0.0009216371056261868,-57.68460214436553,-57.53943860036625,-0.556470642250559,0.0,
7.6000000000000005,1529.6498,1544.6127,1138.9576,890.0135,1144.8568,1737.6088,1672.5239,1012.7925,3228.0212,2834.5764,2751.1267,1433.9542,1771.4852,2654.8159,3294.2668,1284.7402,-0.0006961657982635497,0.0010225677445656381,0.0007207920861719,-58.312151157790055,-57.6687399738062,-0.9902815442782034,0.0,
7.7,1545.1576,1508.6785,1185.7008,899.6443,1173.2362,1711.3834,1643.5842,999.0066,3153.1663,2900.7046,2925.0813,1481.126,1779.2255,2694.8059,3463.0146,1269.172,-0.0025337025805439,-0.0015493574125760442,-0.0005040360542798879,-57.78575653240411,-57.737494909221894,0.09003622494915922,0.0,
7.800000000000001,1573.7285,1494.6127,1177.0709,887.2411,1142.1449,1728.9803,1649.6554,991.8467,3285.1758,2861.0876,2942.7461,1438.2089,1794.9417,2718.2554,3580.1858,1287.745,0.0013384541575497668,3.936708347023196e-05,0.00018628416446278326,-58.22879734237645,-57.650732728816365,0.810209094379885,0.0,
